,Unnamed: 0,barcodeCount,center_x,center_y,fov,leiden,max_x,max_y,min_x,min_y,volume
29336,29336.0,192.0,4002.486490920186,2235.5481982007627,516.0,1.0,4009.085291091353,2240.526998329908,3995.8876907490194,2230.5693980716173,673.7475503127525
25115,25115.0,187.0,3641.4123556427653,2811.3998636715114,451.0,1.0,3647.4171557985246,2816.8646638132627,3635.407555487007,2805.93506352976,670.1496726861018
60070,60070.0,93.0,6580.012125011534,6187.842543873936,965.0,1.0,6585.0449251420805,6193.415344018489,6574.979324880987,6182.269743729384,285.89760187182856
82180,82180.0,183.0,8657.22855502367,6006.81505895406,1318.0,1.0,8664.907355222851,6016.4378592036655,8649.549754824491,5997.192258704455,1153.6537572893815
61135,61135.0,189.0,6556.8572083339095,2617.794655285776,982.0,1.0,6564.104008521885,2625.581455487758,6549.610408145933,2610.007855083793,908.7443866639453
56124,56124.0,134.0,6058.290279110894,5179.3322275951505,900.0,1.0,6066.179679315537,5185.607027757913,6050.40087890625,5173.057427432388,858.1448147989354
34460,34460.0,120.0,4447.791128847748,2513.4602429792285,587.0,1.0,4456.387929070741,2522.2190432064235,4439.194328624755,2504.701442752033,691.7733301278961
11869,11869.0,55.0,2259.382629059255,1563.231903295964,243.0,1.0,2263.1734291575854,1566.6447033844888,2255.591828960925,1559.8191032074392,168.55157386413788
39644,39644.0,206.0,4778.439396653324,2742.33049736172,658.0,1.0,4786.712196867913,2748.2812975160778,4770.166596438736,2736.379697207361,831.8340661939827
74697,74697.0,232.0,7983.661228384823,2745.328747753054,1195.0,1.0,7990.962028574198,2751.3335479088128,7976.360428195447,2739.323947597295,855.8767207212709
54385,54385.0,64.0,5976.669147506356,4382.355075897649,874.0,1.0,5981.431947629899,4386.842476014048,5971.906347382814,4377.86767578125,308.39387235889285
10615,10615.0,191.0,2174.6005126424134,5098.843227572739,226.0,1.0,2181.6853128261864,5104.686027724296,2167.5157124586403,5093.000427421182,975.8310525442756
51167,51167.0,72.0,5636.675316993147,6745.146652370691,821.0,1.0,5649.916117336602,6752.501452561469,5623.434516649693,6737.791852179915,1551.6926768188903
28400,28400.0,263.0,3776.344266805798,832.8095768764615,500.0,1.0,3782.025066953152,838.8683770336211,3770.663466658443,826.7507767193019,520.7551700557962
68211,68211.0,127.0,7233.66290246509,6900.807791031897,1091.0,1.0,7239.230302609503,6906.5425911806515,7228.095502320677,6895.072990883142,729.911550306435
71733,71733.0,178.0,7631.819762248546,4958.841367043556,1145.0,1.0,7636.852562379092,4964.792167197913,7626.786962118001,4952.890566889197,455.86792644956864
31064,31064.0,54.0,3937.6215876080096,6800.734008889644,539.0,1.0,3942.438387732953,6806.198809031396,3932.804787483066,6795.2692087478945,467.8206693896545
27914,27914.0,258.0,3742.9333155862982,2254.6240855120122,493.0,1.0,3750.882115792483,2263.7608857490122,3734.9845153801134,2245.4872852750127,1199.5174241487025
