,Unnamed: 0,barcodeCount,center_x,center_y,fov,leiden,max_x,max_y,min_x,min_y,volume
26530,26530.0,235.0,3673.900909855962,6349.042614441365,473.0,1.0,3680.499710027129,6355.6954146139315,3667.302109684795,6342.389814268798,891.1504081512035
36991,36991.0,165.0,4565.356440864503,5335.971289779991,618.0,1.0,4570.119240988046,5341.544089924544,4560.593640740962,5330.398489635439,587.3061083883335
43181,43181.0,247.0,5075.436324797571,2466.364712096751,702.0,1.0,5081.711124960333,2473.17951227352,5069.161524634807,2459.5499119199812,889.9746768902086
67729,67729.0,340.0,7227.587934400886,5461.2424935139725,1084.0,1.0,7235.104734595866,5467.463293675333,7220.0711342059085,5455.02169335261,970.9706634921276
4919,4919.0,90.0,1493.3105921261015,1693.294223152101,130.0,1.0,1497.3713922314346,1697.0850232504306,1489.2497920207682,1689.5034230537713,200.3433821534369
76441,76441.0,364.0,8131.894443854691,6125.341119602323,1224.0,1.0,8140.653244081885,6133.667919818312,8123.1356436274955,6117.014319386333,1172.5492633096449
63301,63301.0,168.0,6688.23591864109,4684.607064764947,1013.0,1.0,6694.186718795449,4689.531864892691,6682.285118486732,4679.682264637202,574.9591805477983
64426,64426.0,318.0,6942.486100785434,6490.562189538032,1031.0,1.0,6949.084900956602,6497.430989716202,6935.887300614268,6483.693389359862,767.9873097617339
59285,59285.0,134.0,6398.7623990513375,6262.91048611328,953.0,1.0,6405.199199218303,6267.835286241026,6392.325598884374,6257.9856859855345,512.6877640372745
69190,69190.0,214.0,7383.555065236986,4163.248697452247,1110.0,1.0,7389.613865394145,4169.5234976150105,7377.496265079825,4156.973897289485,740.6638051442418
67568,67568.0,168.0,7143.667357649654,4989.607637569308,1081.0,1.0,7149.672157805413,4994.802437704057,7137.662557493895,4984.41283743456,588.9612300741978
14821,14821.0,76.0,2620.464385595173,4625.852577112615,287.0,1.0,2625.497185725719,4632.1273772753775,2615.4315854646266,4619.577776949853,466.8340698984714
40503,40503.0,96.0,4709.1034233793625,4602.828313693404,668.0,1.0,4713.650223497301,4606.7271137945345,4704.556623261422,4598.929513592273,256.7266945184969
26665,26665.0,54.0,3699.134000230581,5967.699891224504,474.0,1.0,3704.9228003807375,5971.598691325635,3693.345200080425,5963.801091123371,195.08548396066706
29938,29938.0,381.0,3985.24524923414,3940.242931049317,524.0,1.0,3996.3800495229657,3948.5157312639058,3974.1104489453137,3931.970130834729,1248.7074307005867
80120,80120.0,271.0,8559.00289291516,4771.257464565337,1284.0,1.0,8564.683693062514,4776.776264708489,8553.322092767805,4765.738664422184,714.3060797768527
65162,65162.0,201.0,7014.851620774715,4184.628379847854,1043.0,1.0,7020.316420916469,4190.093179989606,7009.3868206329635,4179.163579706103,661.4104202327261
